Equipment ID,Equipment Type,ABC,VED
129,NS,B,V
130,NS,C,V
131,NS,C,D
132,E&SP (NR),C,D
133,E&SP (R),C,E
134,NS,C,D
135,E&SP (NR),C,V
136,E&SP (R),C,V
137,NS,C,D
138,NS,C,V
139,NS,C,V
140,E&SP (R),B,V
141,E&SP (NR),C,D
142,E&SP (NR),B,E
143,E&SP (R),C,E
144,E&SP (NR),C,E
145,E&SP (NR),C,E
146,E&SP (R),C,D
147,E&SP (NR),C,E
148,E&SP (NR),C,V
149,E&SP (NR),C,E
150,NS,C,E
151,E&SP (NR),C,D
152,E&SP (NR),B,E
153,E&SP (NR),C,D
154,E&SP (NR),C,D
155,E&SP (NR),C,E
156,E&SP (NR),C,E
157,E&SP (R),C,E
158,E&SP (R),C,E
159,E&SP (NR),C,V
160,E&SP (R),C,E
161,E&SP (NR),C,E
162,E&SP (R),C,E
163,E&SP (R),B,V
164,NS,C,D
165,E&SP (NR),A,D
166,NS,C,E
167,E&SP (NR),B,E
168,E&SP (NR),C,E
169,NS,B,V
170,E&SP (R),B,E
171,E&SP (NR),B,E
172,E&SP (R),C,E
173,E&SP (NR),C,D
174,E&SP (NR),C,V
175,NS,C,E
176,NS,A,E
177,E&SP (R),C,E
178,E&SP (R),C,V
179,E&SP (R),C,E
180,NS,C,E
181,E&SP (NR),C,E
182,NS,C,E
183,E&SP (R),C,V
184,NS,C,D
185,E&SP (NR),C,E
186,E&SP (R),C,V
187,E&SP (NR),C,D
188,E&SP (R),C,E
189,E&SP (NR),C,V
190,NS,C,D
191,E&SP (R),B,E
192,E&SP (R),C,D
193,E&SP (NR),C,V
194,E&SP (R),C,E
195,NS,C,V
196,E&SP (R),C,D
197,NS,C,E
198,E&SP (NR),B,D
199,E&SP (NR),C,D
200,NS,C,E
201,E&SP (R),C,V
202,E&SP (R),C,E
203,NS,C,D
204,E&SP (R),C,D
205,E&SP (R),B,E
206,E&SP (NR),C,D
207,E&SP (NR),C,E
208,E&SP (R),C,E
209,E&SP (NR),B,E
210,E&SP (NR),C,E
211,NS,C,E
212,E&SP (NR),C,V
213,NS,C,E
214,E&SP (NR),B,E
215,E&SP (R),C,V
216,NS,C,E
217,E&SP (R),B,E
218,E&SP (NR),C,E
219,NS,B,V
220,E&SP (R),C,V
221,NS,C,E
222,NS,C,E
223,NS,C,E
224,E&SP (R),C,V
225,E&SP (R),C,E
226,E&SP (R),C,E
227,E&SP (NR),C,V
228,NS,C,E
229,E&SP (NR),C,V
230,NS,C,E
231,NS,C,E
232,E&SP (NR),C,E
233,E&SP (R),C,V
234,E&SP (NR),C,V
235,E&SP (R),C,E
236,E&SP (R),C,E
237,NS,C,E
238,E&SP (NR),B,E
239,NS,A,D
240,NS,C,V
241,E&SP (NR),C,E
242,E&SP (R),C,D
243,NS,C,D
244,E&SP (R),B,D
245,E&SP (R),C,E
246,E&SP (NR),C,V
247,E&SP (NR),B,D
248,E&SP (NR),C,E
249,E&SP (R),C,V
250,E&SP (R),C,E
251,E&SP (R),C,E
252,E&SP (R),C,E
253,E&SP (R),C,V
254,E&SP (R),C,E
255,E&SP (NR),C,D
256,NS,C,E
257,NS,C,D
258,E&SP (NR),C,E
259,E&SP (NR),C,D
260,NS,C,E
261,E&SP (R),C,E
262,E&SP (NR),B,D
263,NS,C,D
264,E&SP (R),C,D
265,NS,C,E
266,E&SP (NR),C,V
267,E&SP (R),C,V
268,E&SP (R),C,E
269,E&SP (NR),C,V
270,E&SP (R),C,V
271,E&SP (NR),C,E
272,E&SP (NR),C,V
273,E&SP (R),C,V
274,E&SP (R),C,V
275,E&SP (NR),C,V
276,E&SP (R),C,D
277,E&SP (R),C,E
278,E&SP (R),C,E
279,E&SP (R),C,E
280,E&SP (NR),C,E
281,E&SP (NR),C,D
282,E&SP (R),B,E
283,E&SP (NR),B,V
284,E&SP (R),C,E
285,E&SP (NR),C,D
286,E&SP (R),C,E
287,E&SP (NR),C,E
288,E&SP (NR),C,E
289,E&SP (R),C,E
290,E&SP (R),C,D
291,E&SP (R),C,E
292,NS,C,E
293,NS,C,E
294,E&SP (NR),C,E
295,E&SP (NR),C,V
296,E&SP (NR),B,E
297,E&SP (NR),C,E
298,E&SP (NR),C,E
299,NS,C,E
300,NS,C,E
301,E&SP (R),C,D
302,E&SP (NR),C,E
303,E&SP (R),C,D
304,E&SP (NR),B,E
305,E&SP (NR),B,E
306,E&SP (R),C,E
307,NS,C,D
308,E&SP (R),B,V
309,NS,C,D
310,E&SP (R),C,V
311,E&SP (R),B,V
312,E&SP (NR),C,E
313,E&SP (NR),C,E
314,NS,C,E
315,E&SP (NR),C,E
316,NS,C,D
317,E&SP (NR),C,E
318,NS,C,E
319,E&SP (NR),C,V
320,NS,C,E
321,NS,C,E
322,E&SP (NR),C,V
323,E&SP (NR),C,E
324,E&SP (NR),C,V
325,E&SP (R),C,D
326,E&SP (R),B,D
327,NS,C,V
328,E&SP (NR),C,E
329,NS,B,V
330,E&SP (NR),C,E
331,E&SP (R),C,E
332,NS,C,E
333,E&SP (R),C,E
334,E&SP (NR),C,E
335,E&SP (R),C,E
336,E&SP (NR),C,V
337,E&SP (R),C,E
338,E&SP (R),C,E
339,E&SP (R),C,E
340,E&SP (NR),C,E
341,E&SP (NR),C,V
342,E&SP (R),C,V
343,E&SP (R),B,E
344,E&SP (NR),C,E
345,E&SP (NR),C,E
346,NS,C,E
347,E&SP (NR),C,D
348,NS,C,D
349,NS,C,D
350,E&SP (NR),C,D
351,NS,C,E
352,E&SP (NR),C,E
353,E&SP (R),C,E
354,NS,C,V
355,NS,C,E
356,E&SP (R),C,D
357,E&SP (R),B,E
358,E&SP (NR),C,E
359,E&SP (NR),C,E
360,E&SP (R),C,D
361,E&SP (NR),C,E
362,E&SP (NR),C,E
363,NS,C,E
364,E&SP (NR),C,V
365,E&SP (R),B,D
366,NS,C,V
367,E&SP (R),C,E
368,E&SP (NR),C,D
369,E&SP (NR),C,D
370,E&SP (NR),C,V
371,E&SP (R),C,E
372,E&SP (NR),C,D
373,E&SP (R),C,V
374,E&SP (R),C,E
375,E&SP (NR),C,E
376,E&SP (NR),C,E
377,E&SP (NR),C,E
378,E&SP (R),A,E
379,E&SP (R),C,E
380,E&SP (R),C,E
381,NS,C,D
382,E&SP (NR),C,E
383,E&SP (NR),B,E
384,E&SP (NR),C,D
385,NS,C,D
386,E&SP (R),C,D
387,E&SP (NR),C,E
388,NS,C,E
389,E&SP (NR),C,V
390,E&SP (NR),C,D
391,E&SP (NR),C,E
392,E&SP (NR),C,E
393,E&SP (NR),C,E
394,E&SP (R),B,E
395,NS,C,E
396,E&SP (NR),C,E
397,NS,C,D
398,E&SP (R),C,E
399,NS,B,D
400,NS,C,E
401,E&SP (NR),C,E
402,E&SP (R),C,V
403,NS,C,V
404,E&SP (R),C,E
405,E&SP (NR),C,E
406,NS,C,E
407,E&SP (NR),C,D
408,NS,C,E
409,E&SP (NR),C,V
410,E&SP (NR),C,V
411,E&SP (R),C,D
412,E&SP (NR),C,V
413,E&SP (R),C,E
414,E&SP (R),C,E
415,E&SP (NR),C,V
416,E&SP (NR),C,E
417,NS,C,E
418,NS,C,E
419,E&SP (NR),C,D
420,E&SP (NR),C,E
421,E&SP (NR),C,D
422,E&SP (NR),C,E
423,E&SP (R),C,E
424,E&SP (R),C,V
425,NS,C,E
426,E&SP (NR),C,D
427,NS,C,D
428,E&SP (R),C,V
429,E&SP (R),C,E
430,E&SP (R),C,V
431,NS,C,D
432,NS,A,E
433,E&SP (R),C,E
434,E&SP (NR),C,V
435,E&SP (NR),C,D
436,E&SP (R),C,E
437,E&SP (R),C,D
438,NS,C,V
439,E&SP (R),C,V
440,E&SP (NR),C,E
441,E&SP (R),C,D
442,NS,C,E
443,E&SP (NR),C,E
444,E&SP (R),C,D
445,E&SP (R),C,E
446,NS,C,E
447,NS,C,V
448,E&SP (R),C,E
449,E&SP (R),C,D
450,E&SP (NR),C,E
451,NS,C,E
452,E&SP (NR),C,D
453,E&SP (R),C,V
454,E&SP (R),C,E
455,E&SP (NR),C,E
456,E&SP (NR),B,E
457,NS,C,V
458,NS,C,E
459,NS,C,E
460,E&SP (NR),C,D
461,E&SP (NR),B,E
462,NS,C,E
463,E&SP (NR),C,E
464,E&SP (R),C,D
465,E&SP (R),C,E
466,E&SP (NR),C,D
467,E&SP (R),C,D
468,E&SP (R),C,E
469,E&SP (NR),C,E
470,NS,C,E
471,E&SP (R),C,D
472,E&SP (NR),C,D
473,E&SP (NR),C,D
474,NS,C,E
475,E&SP (NR),C,E
476,E&SP (R),C,E
477,E&SP (NR),C,E
478,E&SP (R),C,V
479,NS,C,E
480,E&SP (NR),C,E
481,E&SP (NR),C,D
482,E&SP (R),C,E
483,NS,C,V
484,E&SP (NR),C,E
485,NS,B,E
486,E&SP (R),C,D
487,E&SP (NR),A,V
488,NS,C,E
489,E&SP (R),C,D
490,E&SP (NR),C,V
491,E&SP (R),C,V
492,E&SP (R),C,D
493,E&SP (R),C,E
494,NS,C,E
495,E&SP (NR),C,D
496,E&SP (NR),C,E
497,NS,C,E
498,E&SP (R),C,E
499,NS,C,V
500,E&SP (R),C,E
501,NS,B,D
502,E&SP (R),C,V
503,E&SP (R),C,E
504,E&SP (NR),C,E
505,E&SP (NR),C,E
506,E&SP (NR),C,E
507,E&SP (R),C,V
508,NS,C,E
509,E&SP (R),C,E
510,E&SP (NR),C,D
511,E&SP (R),C,V
512,E&SP (NR),C,E
513,E&SP (NR),C,E
514,E&SP (NR),C,E
515,E&SP (R),C,E
516,E&SP (NR),C,E
517,NS,C,V
518,NS,C,V
519,E&SP (NR),C,D
520,E&SP (R),C,D
521,E&SP (NR),C,E
522,E&SP (NR),C,D
523,E&SP (R),C,D
524,E&SP (NR),C,E
525,E&SP (NR),B,E
526,NS,C,D
527,E&SP (R),C,V
528,E&SP (R),C,E
529,E&SP (R),C,E
530,E&SP (R),C,E
531,E&SP (R),C,E
532,NS,C,E
533,E&SP (R),C,E
534,NS,C,E
535,E&SP (R),C,D
536,E&SP (NR),C,E
537,E&SP (NR),C,D
538,NS,C,E
539,NS,C,D
540,E&SP (R),C,E
541,E&SP (NR),C,D
542,E&SP (R),C,V
543,E&SP (R),C,E
544,E&SP (R),B,E
545,E&SP (R),C,E
546,E&SP (NR),B,V
547,NS,B,E
548,E&SP (NR),C,E
549,NS,C,E
550,E&SP (NR),C,V
551,E&SP (NR),C,E
552,E&SP (R),C,E
553,E&SP (R),C,E
554,E&SP (R),C,E
555,NS,B,E
556,NS,B,E
557,E&SP (R),C,D
558,NS,C,D
559,E&SP (R),C,E
560,E&SP (NR),C,E
561,NS,C,V
562,E&SP (R),C,D
563,E&SP (NR),C,E
564,E&SP (NR),B,E
565,E&SP (R),C,E
566,NS,C,E
567,E&SP (NR),C,E
568,E&SP (NR),C,E
569,E&SP (R),C,V
570,E&SP (R),C,E
571,E&SP (R),C,D
572,E&SP (NR),C,E
573,E&SP (NR),C,D
574,E&SP (R),C,V
575,NS,C,E
576,E&SP (R),C,E
577,E&SP (NR),C,E
578,E&SP (R),C,E
579,NS,C,E
580,NS,C,D
581,E&SP (R),C,E
582,E&SP (R),C,V
583,E&SP (NR),C,E
584,E&SP (NR),C,E
585,E&SP (NR),B,V
586,E&SP (R),C,E
587,E&SP (R),B,E
588,E&SP (R),B,E
589,NS,C,E
590,NS,C,E
591,NS,C,E
592,E&SP (R),C,V
593,E&SP (R),C,D
594,E&SP (NR),C,V
595,E&SP (R),C,D
596,E&SP (R),C,E
597,E&SP (NR),B,D
598,E&SP (NR),C,E
599,E&SP (R),B,E
600,E&SP (R),C,V
601,E&SP (NR),C,D
602,E&SP (NR),C,E
603,NS,C,V
604,E&SP (R),C,V
605,E&SP (NR),C,V
606,E&SP (NR),C,V
607,NS,C,E
608,E&SP (R),C,D
609,NS,B,D
610,E&SP (NR),C,E
611,E&SP (NR),C,D
612,E&SP (R),C,E
613,E&SP (R),B,E
614,E&SP (R),C,E
615,E&SP (R),C,E
616,E&SP (NR),B,D
617,E&SP (NR),C,E
618,NS,C,E
619,NS,C,E
620,E&SP (R),C,V
621,NS,C,D
622,E&SP (NR),C,D
623,E&SP (NR),C,V
624,E&SP (R),B,E
625,E&SP (R),A,E
626,NS,C,V
627,NS,C,D
628,E&SP (R),C,V
629,E&SP (R),B,V
630,E&SP (NR),C,D
631,E&SP (NR),C,V
632,E&SP (R),B,E
633,NS,C,E
634,E&SP (R),C,V
635,E&SP (R),C,E
636,E&SP (R),C,E
637,E&SP (NR),C,E
638,NS,C,E
639,NS,C,D
640,NS,A,E
641,NS,C,E
642,NS,C,V
643,E&SP (NR),C,V
644,E&SP (NR),C,E
645,E&SP (R),C,E
646,E&SP (NR),C,D
647,NS,B,D
648,E&SP (NR),C,V
649,E&SP (NR),C,E
650,E&SP (NR),C,E
651,E&SP (R),C,E
652,E&SP (NR),C,E
653,E&SP (NR),C,E
654,NS,C,V
655,E&SP (NR),C,V
656,E&SP (NR),C,E
657,E&SP (NR),B,E
658,E&SP (R),C,E
659,E&SP (NR),C,D
660,E&SP (NR),C,E
661,E&SP (R),C,E
662,E&SP (R),C,E
663,NS,C,V
664,E&SP (R),C,E
665,E&SP (R),C,V
666,E&SP (NR),C,V
667,E&SP (R),C,D
668,E&SP (R),C,E
669,NS,C,E
670,E&SP (R),C,E
671,E&SP (R),C,E
672,E&SP (NR),C,E
673,E&SP (NR),B,E
674,E&SP (NR),C,E
675,E&SP (NR),C,E
676,E&SP (NR),C,E
677,NS,C,V
678,E&SP (NR),C,E
679,NS,C,D
680,E&SP (NR),C,E
681,E&SP (NR),C,V
682,NS,C,E
683,NS,C,D
684,E&SP (NR),C,E
685,E&SP (NR),C,E
686,E&SP (R),C,D
687,E&SP (R),C,E
688,E&SP (R),C,E
689,NS,C,E
690,E&SP (R),C,E
691,NS,C,E
692,NS,B,E
693,E&SP (NR),C,E
694,NS,C,E
695,E&SP (R),C,D
696,E&SP (R),C,D
697,E&SP (NR),C,E
698,NS,C,D
699,NS,C,D
700,E&SP (R),C,E
701,E&SP (R),C,E
702,E&SP (NR),B,D
703,E&SP (R),C,E
704,NS,B,D
705,NS,B,V
706,E&SP (R),C,E
707,E&SP (NR),C,V
708,E&SP (R),C,E
709,E&SP (R),C,E
710,E&SP (R),C,D
711,E&SP (NR),C,E
712,E&SP (R),C,E
713,E&SP (R),C,E
714,E&SP (NR),C,E
715,E&SP (NR),C,V
716,E&SP (R),C,E
717,E&SP (NR),C,V
718,E&SP (NR),C,E
719,E&SP (R),C,E
720,E&SP (NR),C,E
721,E&SP (NR),B,E
722,NS,C,V
723,E&SP (R),C,E
724,E&SP (R),C,E
725,E&SP (NR),B,E
726,E&SP (NR),C,E
727,E&SP (NR),A,D
728,E&SP (R),C,V
729,NS,C,E
730,NS,C,D
731,NS,C,V
732,E&SP (NR),C,E
733,E&SP (NR),C,D
734,E&SP (NR),C,E
735,E&SP (R),C,V
736,E&SP (NR),B,D
737,E&SP (R),C,E
738,E&SP (R),C,E
739,E&SP (NR),C,V
740,E&SP (R),C,E
741,E&SP (R),C,D
742,NS,C,E
743,E&SP (NR),C,E
744,E&SP (R),C,E
745,E&SP (NR),B,E
746,E&SP (NR),C,E
747,E&SP (R),C,E
748,E&SP (NR),C,E
749,E&SP (NR),C,V
750,E&SP (R),C,E
751,E&SP (R),C,E
752,NS,C,D
753,E&SP (R),C,E
754,E&SP (NR),C,E
755,NS,C,E
756,E&SP (NR),C,E
757,E&SP (NR),C,E
758,E&SP (R),C,E
759,E&SP (R),C,D
760,E&SP (NR),C,V
761,NS,C,E
762,NS,C,V
763,E&SP (R),C,E
764,E&SP (R),C,V
765,E&SP (NR),B,D
766,E&SP (NR),C,D
767,NS,B,E
768,E&SP (NR),C,D
769,E&SP (R),C,E
770,NS,C,E
771,NS,C,E
772,E&SP (R),C,V
773,E&SP (NR),C,V
774,E&SP (R),C,E
775,E&SP (NR),C,D
776,E&SP (NR),B,E
777,E&SP (R),C,E
778,E&SP (NR),C,E
779,E&SP (NR),C,E
780,E&SP (R),C,D
781,E&SP (R),B,E
782,NS,C,V
783,NS,C,E
784,E&SP (R),C,E
785,E&SP (R),C,V
786,E&SP (R),B,E
787,E&SP (NR),C,E
788,NS,C,E
789,E&SP (NR),C,E
790,E&SP (R),C,V
791,E&SP (NR),B,E
792,E&SP (NR),C,E
793,E&SP (R),C,E
794,E&SP (R),C,E
795,NS,B,E
796,E&SP (R),C,D
797,E&SP (R),B,E
798,NS,C,E
799,NS,B,E
800,E&SP (R),C,D
801,NS,C,D
802,E&SP (NR),C,D
803,E&SP (NR),B,E
804,E&SP (NR),C,V
805,E&SP (NR),C,V
806,E&SP (R),B,E
807,E&SP (R),C,E
808,NS,C,V
809,E&SP (NR),C,D
810,E&SP (NR),C,D
811,E&SP (NR),C,E
812,E&SP (NR),C,E
813,E&SP (NR),C,V
814,E&SP (R),C,E
815,NS,C,D
816,E&SP (R),C,D
817,E&SP (NR),C,E
818,E&SP (NR),C,D
819,E&SP (R),C,V
820,NS,C,E
821,E&SP (R),C,V
822,E&SP (NR),C,E
823,E&SP (NR),C,E
824,E&SP (R),C,V
825,E&SP (NR),C,V
826,E&SP (R),C,V
827,E&SP (NR),C,E
828,E&SP (R),B,D
829,E&SP (R),C,E
830,E&SP (R),C,E
831,E&SP (R),C,E
832,E&SP (R),C,E
833,E&SP (NR),C,D
834,E&SP (NR),C,E
835,NS,C,E
836,E&SP (NR),C,E
837,E&SP (R),C,D
838,E&SP (NR),C,E
839,E&SP (NR),C,D
840,E&SP (R),B,E
841,E&SP (NR),C,V
842,NS,C,E
843,E&SP (R),C,V
844,E&SP (R),C,E
845,E&SP (R),C,D
846,NS,C,E
847,E&SP (R),C,D
848,NS,C,V
849,NS,C,E
850,NS,C,V
851,E&SP (R),B,V
852,NS,B,E
853,E&SP (NR),C,E
854,NS,C,D
855,E&SP (R),C,E
856,E&SP (NR),C,V
857,E&SP (R),B,D
858,E&SP (NR),C,V
859,E&SP (R),B,V
860,E&SP (R),C,V
861,E&SP (NR),C,E
862,E&SP (NR),C,E
863,E&SP (NR),C,E
864,E&SP (R),B,E
865,E&SP (R),C,V
866,E&SP (NR),C,E
867,E&SP (R),C,E
868,NS,C,E
869,E&SP (NR),C,E
870,E&SP (R),C,V
871,E&SP (NR),C,D
872,NS,C,E
873,E&SP (NR),C,E
874,E&SP (R),C,D
875,E&SP (NR),C,E
876,E&SP (R),C,E
877,E&SP (R),B,E
878,E&SP (NR),C,V
879,E&SP (R),B,V
880,NS,C,E
881,E&SP (R),C,E
882,NS,C,E
883,NS,C,E
884,NS,C,V
885,E&SP (NR),C,D
886,E&SP (R),C,D
887,E&SP (NR),B,E
888,E&SP (R),C,V
889,E&SP (NR),C,E
890,NS,B,E
891,E&SP (NR),C,E
892,NS,C,E
893,E&SP (NR),B,V
894,E&SP (NR),C,E
895,E&SP (NR),C,E
896,E&SP (R),C,D
897,E&SP (NR),C,E
898,E&SP (R),C,E
899,E&SP (NR),C,D
900,NS,C,V
901,E&SP (R),C,E
902,E&SP (R),C,D
903,E&SP (R),C,E
904,E&SP (NR),C,D
905,E&SP (NR),C,V
906,E&SP (R),C,D
907,E&SP (R),B,E
908,E&SP (NR),C,E
909,E&SP (NR),C,E
910,E&SP (R),C,E
911,E&SP (NR),C,E
912,E&SP (R),C,E
913,E&SP (R),C,E
914,E&SP (R),C,E
915,E&SP (R),C,V
916,E&SP (R),C,E
917,E&SP (R),C,E
918,NS,C,V
919,E&SP (NR),A,V
920,E&SP (R),C,E
921,E&SP (R),A,E
922,E&SP (R),C,E
923,E&SP (R),C,V
924,E&SP (R),C,D
925,E&SP (NR),C,V
926,NS,C,E
927,NS,C,E
928,NS,C,E
929,E&SP (R),C,V
930,E&SP (NR),C,E
931,E&SP (R),B,V
932,E&SP (NR),B,D
933,E&SP (R),C,V
934,E&SP (NR),C,E
935,NS,A,D
936,NS,C,D
937,E&SP (R),C,E
938,E&SP (NR),B,D
939,E&SP (R),C,E
940,NS,C,E
941,NS,C,V
942,E&SP (NR),C,E
943,E&SP (R),C,E
944,E&SP (R),C,E
945,E&SP (NR),C,V
946,E&SP (R),B,V
947,E&SP (NR),C,D
948,E&SP (R),C,E
949,E&SP (NR),C,V
950,E&SP (R),C,E
951,E&SP (R),B,E
952,NS,C,E
953,NS,C,D
954,E&SP (NR),B,D
955,NS,C,V
956,E&SP (NR),C,E
957,NS,C,E
958,E&SP (NR),C,D
959,E&SP (R),C,V
960,E&SP (NR),B,E
961,NS,C,V
962,NS,C,D
963,E&SP (NR),C,E
964,E&SP (R),C,D
965,NS,B,E
966,NS,C,E
967,E&SP (R),C,E
968,E&SP (NR),C,E
969,E&SP (NR),C,V
970,NS,B,E
971,E&SP (NR),C,V
972,E&SP (NR),C,E
973,E&SP (R),C,E
974,E&SP (R),C,E
975,E&SP (R),B,E
976,E&SP (R),C,E
977,E&SP (R),C,E
978,E&SP (NR),C,E
979,E&SP (NR),C,E
980,E&SP (NR),C,E
981,E&SP (R),C,D
982,NS,C,V
983,E&SP (R),C,D
984,E&SP (R),B,D
985,E&SP (R),C,E
986,E&SP (NR),C,E
987,E&SP (NR),C,E
988,E&SP (NR),C,D
989,E&SP (NR),C,E
990,E&SP (R),C,E
991,E&SP (NR),C,D
992,E&SP (NR),C,E
993,NS,C,E
994,E&SP (R),B,V
995,NS,B,E
996,NS,C,E
997,NS,C,E
998,E&SP (NR),C,E
999,NS,C,V
1000,E&SP (R),C,V
